number,commit_len,base_commit_sha,first_commit_sha,merge_commit_sha,created_at,merged_at,merged_by,1-n_url
324,1,d272d7342379efaa2f3615823320baf4d65af490,d762c8c3fd351683cf7a99f9cf5d21ad1de0a903,d762c8c3fd351683cf7a99f9cf5d21ad1de0a903,2019-03-27 20:12:56,2019-04-01 02:57:18,wata727,https://github.com/sider/catpost/compare/d762c8c3fd351683cf7a99f9cf5d21ad1de0a903...d762c8c3fd351683cf7a99f9cf5d21ad1de0a903.diff
325,1,9f01e960734e804ae64d36d91ec25c1977e789ef,4b5729562f262a28b875306df29d0c1e8f25cf0e,4b5729562f262a28b875306df29d0c1e8f25cf0e,2019-03-27 20:13:11,2019-04-01 02:24:13,wata727,https://github.com/sider/catpost/compare/4b5729562f262a28b875306df29d0c1e8f25cf0e...4b5729562f262a28b875306df29d0c1e8f25cf0e.diff
326,1,9eab7930ab87c558f2a71b3aa9edb6abc001b5a6,e8e5ba6cb160a353f4698c069a8381f7d68408c5,e8e5ba6cb160a353f4698c069a8381f7d68408c5,2019-03-28 20:13:47,2019-04-01 02:02:10,wata727,https://github.com/sider/catpost/compare/e8e5ba6cb160a353f4698c069a8381f7d68408c5...e8e5ba6cb160a353f4698c069a8381f7d68408c5.diff
327,1,eb2ed772aabc2e8831f8b14dca47d6e9a7f77ea4,e7afd4e04404b78fb0b08cbcf9d97522b3a737fe,e7afd4e04404b78fb0b08cbcf9d97522b3a737fe,2019-04-01 20:12:53,2019-04-08 02:09:13,dependabot[bot],https://github.com/sider/catpost/compare/e7afd4e04404b78fb0b08cbcf9d97522b3a737fe...e7afd4e04404b78fb0b08cbcf9d97522b3a737fe.diff
328,1,eb2ed772aabc2e8831f8b14dca47d6e9a7f77ea4,77ea98e874bc215978b92c04ae4e977464ac2fdb,77ea98e874bc215978b92c04ae4e977464ac2fdb,2019-04-02 20:13:14,2019-04-08 02:08:35,dependabot[bot],https://github.com/sider/catpost/compare/77ea98e874bc215978b92c04ae4e977464ac2fdb...77ea98e874bc215978b92c04ae4e977464ac2fdb.diff
329,1,56d33a8d7271818de7df53a0d422610ab01394e4,3301810ab47d5d944559c07e6acfaaa866c4ada9,3301810ab47d5d944559c07e6acfaaa866c4ada9,2019-04-08 20:12:40,2019-04-09 05:32:54,ybiquitous,https://github.com/sider/catpost/compare/3301810ab47d5d944559c07e6acfaaa866c4ada9...3301810ab47d5d944559c07e6acfaaa866c4ada9.diff
332,1,5d53ee8de61e8a84f14bdeb044a3c4ca161dbbd7,158fc04cae09e1dd61cf1605cb7e8f5e07757f98,158fc04cae09e1dd61cf1605cb7e8f5e07757f98,2019-04-19 11:59:57,2019-04-24 04:11:12,akito19,https://github.com/sider/catpost/compare/158fc04cae09e1dd61cf1605cb7e8f5e07757f98...158fc04cae09e1dd61cf1605cb7e8f5e07757f98.diff
334,1,4c110a538fb4cdb8bcd66b8776a5ce20f6863b80,cf7d98b45fb33dbcc2f62c177c3135308fd07a29,cf7d98b45fb33dbcc2f62c177c3135308fd07a29,2019-04-22 17:56:22,2019-04-23 01:29:53,dependabot[bot],https://github.com/sider/catpost/compare/cf7d98b45fb33dbcc2f62c177c3135308fd07a29...cf7d98b45fb33dbcc2f62c177c3135308fd07a29.diff
338,1,a9ccd151f69fd490864e06ab946a8ef8108f3ea0,5407ed10327da9cda9f24aa46d4c79d5106ce0ea,5407ed10327da9cda9f24aa46d4c79d5106ce0ea,2019-04-25 05:32:02,2019-04-25 06:23:26,akito19,https://github.com/sider/catpost/compare/5407ed10327da9cda9f24aa46d4c79d5106ce0ea...5407ed10327da9cda9f24aa46d4c79d5106ce0ea.diff
341,1,69c44ef9bddf4511283b40d032b2627d71eb4a96,7d1a10f82dfdd2d720727431be34e0ca612601a7,7d1a10f82dfdd2d720727431be34e0ca612601a7,2019-05-08 02:48:21,2019-05-08 05:13:10,akito19,https://github.com/sider/catpost/compare/7d1a10f82dfdd2d720727431be34e0ca612601a7...7d1a10f82dfdd2d720727431be34e0ca612601a7.diff
