number,author,participant,commit_len,base_commit_sha,first_commit_sha,merge_commit_sha,created_at,merged_at,merged_by
295,JohnAlbin,trisweb,1,1a9cf0b342b1e7606b9577934b2d3641619d0eac,dea455010660daec5a986187f2de0425d0f8a3e3,dea455010660daec5a986187f2de0425d0f8a3e3,2013-02-18 18:27:56,2013-02-20 00:14:56,trisweb
296,caarlos0,merencia,1,1a9cf0b342b1e7606b9577934b2d3641619d0eac,17db8dd12e78e30927755993370a2a769f700900,17db8dd12e78e30927755993370a2a769f700900,2013-02-20 00:05:02,2013-02-20 00:12:49,trisweb
300,gabceb,thomas-mcdonald,1,c30f985e68a22233dc532abc519043838833392e,c3dc42e36cf35cf0ed9ee0021ce2afc9693e28db,c3dc42e36cf35cf0ed9ee0021ce2afc9693e28db,2013-02-25 04:41:00,2013-02-25 10:02:32,thomas-mcdonald
311,trisweb,thomas-mcdonald,1,993dcf0ccf2d60858cd7fe6239a8982bbeef2ebf,4884e9a217c462e6c907512f1a73809c8a962a6e,4884e9a217c462e6c907512f1a73809c8a962a6e,2013-03-12 17:34:14,2013-03-16 14:49:56,thomas-mcdonald
317,fivetwentysix,trisweb,1,da8879696a9c517a41fe9e9f08aa4393b4d48125,b67e39575f749ac2cf122273eab119840c951aee,b67e39575f749ac2cf122273eab119840c951aee,2013-03-21 03:45:10,2013-03-21 12:57:27,trisweb
318,trisweb,thomas-mcdonald,2,62d239b9c0649bf584e3f5a88835ac22e981e9a1,2be2d7d13074d16ea6ca0856cc298dcc6146c449,3e40c4caea4a7324107ecd034feb067d50226057,2013-03-21 17:54:00,2013-03-23 22:15:48,thomas-mcdonald
329,thomas-mcdonald,archonic,1,2545963974edfc5da87f53b8db93d25d88554019,1344c58711e9ba30cbbd028908ea3fe6df73969d,1344c58711e9ba30cbbd028908ea3fe6df73969d,2013-04-13 15:08:20,2013-09-09 10:39:32,thomas-mcdonald
335,brief,thomas-mcdonald,1,9015663a8f3f53890174a0c363190d6b6192bb51,09c2d06f99c0c772e0177d61ad33b1664421a48c,09c2d06f99c0c772e0177d61ad33b1664421a48c,2013-04-27 22:31:10,2013-04-28 10:36:22,thomas-mcdonald
342,glebm,trisweb,1,abf20dae81b894fc5e03aaa006887265254277d1,26a30c1f9d60f069de1a12bcb72b128889b8701e,26a30c1f9d60f069de1a12bcb72b128889b8701e,2013-04-30 17:19:49,2013-05-02 13:27:56,thomas-mcdonald
345,Blackhawkso,thomas-mcdonald,3,0e70e17705d7de55c64f350f98801330ce5d46c4,42612aca167a9cb9154f48171c037dbf3edd978c,cf4aeeed4eb8910b5f2b3b5802f790d907659c48,2013-05-05 15:48:27,2013-05-15 14:46:10,thomas-mcdonald
365,mojavelinux,vicovictor,1,7b777b34a9543e800a7ea188f400f5885747bd1e,75b6a25d288811b1b793f673e1ab3272f602062d,75b6a25d288811b1b793f673e1ab3272f602062d,2013-05-23 21:59:06,2013-05-31 23:22:00,thomas-mcdonald
373,trisweb,thomas-mcdonald,2,41602a4c13ee344ba3d09236172878654dcff148,a14d765d15b7e1e235979a736484b9166379a3a3,91a628ffa080901cc5ea4e9ec758eb0b8a786916,2013-05-31 18:50:46,2013-05-31 22:34:42,thomas-mcdonald
