number,author,participant,commit_len,base_commit_sha,first_commit_sha,merge_commit_sha,created_at,merged_at,merged_by
607,owyongsk,glebm,1,f6bf2ee00c7427eec72f9a6746fa364f5cb36613,5e846a1662947541900753c3a6aa5997ad11ff3a,5e846a1662947541900753c3a6aa5997ad11ff3a,2014-05-08 10:05:59,2014-05-08 11:59:43,glebm
608,tdreyno,glebm,1,aebe38ca194faafcfbf7bbb6dfee842b09ba9e11,3cff3566bb8e9690fa197c385ddfd3b0198f07cd,3cff3566bb8e9690fa197c385ddfd3b0198f07cd,2014-05-08 16:30:32,2014-05-08 23:51:53,glebm
614,gpakosz,glebm,1,a416cb86a3ddc6906892b2c0472deea306989fea,58796c843d73407ad18d15ff56fe7c14c912f823,58796c843d73407ad18d15ff56fe7c14c912f823,2014-05-11 17:51:15,2014-05-26 16:25:11,glebm
620,synthdnb,glebm,1,a416cb86a3ddc6906892b2c0472deea306989fea,9fec7f6441d9f7481ba1303ac554013e0a4c7a11,9fec7f6441d9f7481ba1303ac554013e0a4c7a11,2014-05-22 10:17:21,2014-05-26 18:09:01,glebm
641,amitport,glebm,1,e2e70208d5c8e0f177e45b45d872ba592f987ad9,d64b551c5a2b1b9e5ee8f4fe6e540776fb596268,d64b551c5a2b1b9e5ee8f4fe6e540776fb596268,2014-06-20 16:42:18,2014-06-20 19:53:47,glebm
652,ZacharyAdams,thomas-mcdonald,1,a46d95016dd727a198ed2120c9ce4e8b2cf5e0f3,14d410a02a62e48483522935086a35b89c97167e,14d410a02a62e48483522935086a35b89c97167e,2014-07-02 14:25:48,2014-07-02 23:27:09,thomas-mcdonald
662,sbandyopadhyay,glebm,2,75a10e61bfdaf360c7a1bd97f0b50cad395f3fbb,c14f8eaefa9ccb35161fd6ddf2374a09ba767b0c,1a3726a7f97b6b7268aa02de07a81eddb1a0c6f2,2014-07-09 23:55:00,2014-07-12 15:23:32,glebm
676,igor-drozdov,glebm,1,d5625c907168b6311be122b99d89614e02448475,cd0a2985ea42216c2a41b62fb1bd1b941f3c98b0,cd0a2985ea42216c2a41b62fb1bd1b941f3c98b0,2014-07-27 06:33:19,2014-07-27 10:38:33,glebm
702,intuxicated,thomas-mcdonald,1,54317e5c02a4915e7a5def3a3e94cc2738a51ed3,5e6eeb06770756a21656416be6600be8473cad15,5e6eeb06770756a21656416be6600be8473cad15,2014-08-28 09:33:16,2014-09-02 21:33:49,glebm
705,everaldo,alexpls,1,54317e5c02a4915e7a5def3a3e94cc2738a51ed3,21bff940bec205d641a818e08fce699810277d42,21bff940bec205d641a818e08fce699810277d42,2014-08-29 20:27:08,2014-09-02 21:32:27,glebm
725,sagar-ranglani,glebm,1,359d643ecd2816ed4978ef14b3e58016585fb612,f9da77178fd5ea951852625622122f3340ab1bdc,f9da77178fd5ea951852625622122f3340ab1bdc,2014-09-18 02:56:48,2014-09-18 18:46:05,glebm
733,duaconn,glebm,1,c9f2e89f826db06e058ac2a97da4dd7fd6b10ccc,3810ecf53220708e1fae328557b6977ddd78ff66,3810ecf53220708e1fae328557b6977ddd78ff66,2014-09-27 18:06:41,2014-10-28 04:05:58,glebm
734,mikesea,thomas-mcdonald,1,c9f2e89f826db06e058ac2a97da4dd7fd6b10ccc,21c7c9b71ea18aa4ebab7ad4424ed686570c8970,21c7c9b71ea18aa4ebab7ad4424ed686570c8970,2014-10-01 16:13:03,2014-10-02 07:57:56,thomas-mcdonald
